 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
91,1,245.000,0.000,245,245,981.500,640.500,2.828,1.128,1.128,0.000,1.414,981,640,135.000,1.000
92,13,243.769,1.301,241,245,995.192,643.423,13.314,4.734,3.496,75.244,5.385,994,646,68.199,4.000
93,25,236.200,8.201,218,245,923.060,647.700,17.314,6.464,4.925,24.972,7.211,920,650,33.690,5.000
94,11,244.909,0.302,244,245,998.773,648.409,13.314,5.499,2.547,55.539,6.403,997,651,51.340,3.479
95,4,245.000,0.000,245,245,981.000,648.000,5.657,2.257,2.257,0.000,2.828,980,647,135.000,2.000
96,13,244.538,0.519,244,245,893.269,649.885,12.485,4.253,3.892,149.036,5.000,892,648,126.870,4.000
97,153,244.105,0.882,242,245,973.356,659.905,64.184,17.562,11.093,71.683,20.616,966,667,67.166,13.205
98,22,243.364,1.399,241,245,812.182,654.000,18.971,8.286,3.381,36.985,8.602,809,657,35.538,4.160
99,62,240.790,4.610,228,245,835.710,656.435,29.213,9.961,7.925,117.878,10.817,833,652,123.690,8.854
100,11,244.273,0.905,243,245,875.864,652.591,11.071,4.384,3.195,164.929,5.000,874,651,143.130,3.000
101,2,245.000,0.000,245,245,984.500,652.000,4.828,2.257,1.128,90.000,2.236,984,651,116.565,1.000
102,12,244.083,0.669,243,245,886.833,654.417,12.485,4.314,3.542,145.278,5.000,886,652,126.870,4.000
103,3,245.000,0.000,245,245,988.167,652.833,5.657,2.365,1.615,135.000,2.828,987,652,135.000,2.000
104,36,240.583,2.781,236,245,576.556,658.778,28.627,12.115,3.783,47.091,13.454,572,664,48.013,4.841
105,3,245.000,0.000,245,245,855.167,654.833,5.657,2.365,1.615,135.000,2.828,854,654,135.000,2.000
106,50,244.120,0.961,242,245,865.320,658.700,40.870,11.940,5.332,40.414,14.422,860,663,33.690,7.603
107,2,245.000,0.000,245,245,969.000,654.500,4.243,2.257,1.128,0.000,2.236,968,654,153.435,1.000
108,6,245.000,0.000,245,245,965.000,656.000,9.071,3.988,1.916,18.435,4.472,963,657,26.565,2.000
109,3,245.000,0.000,245,245,905.833,656.833,5.657,2.365,1.615,45.000,2.828,905,658,45.000,2.000
110,1,245.000,0.000,245,245,988.500,656.500,2.828,1.128,1.128,0.000,1.414,988,656,135.000,1.000
111,1,245.000,0.000,245,245,856.500,658.500,2.828,1.128,1.128,0.000,1.414,856,658,135.000,1.000
112,3,245.000,0.000,245,245,590.167,659.833,5.657,2.365,1.615,135.000,2.828,589,659,135.000,2.000
113,30,242.100,2.468,238,245,878.167,662.167,21.556,7.449,5.128,172.190,8.544,874,662,159.444,5.754
114,13,244.462,0.660,243,245,884.731,661.269,12.485,4.762,3.476,135.000,5.657,883,659,135.000,4.000
115,15,245.000,0.000,245,245,958.700,666.233,20.728,7.704,2.479,58.388,8.944,956,670,63.435,3.773
116,34,244.147,0.857,242,245,816.029,666.853,23.556,9.548,4.534,29.904,10.000,812,670,36.870,5.367
117,7,244.000,1.000,242,245,856.214,664.929,10.485,3.855,2.312,59.036,4.472,855,667,63.435,2.828
118,1,245.000,0.000,245,245,867.500,668.500,2.828,1.128,1.128,0.000,1.414,867,668,135.000,1.000
119,6,244.667,0.516,244,245,483.000,670.500,7.657,3.385,2.257,90.000,3.606,482,669,123.690,2.000
120,2,245.000,0.000,245,245,873.000,670.500,4.243,2.257,1.128,0.000,2.236,872,670,153.435,1.000
121,16,241.188,3.410,235,245,923.000,672.500,14.485,5.429,3.752,52.018,6.403,921,675,51.340,4.000
122,5816,236.291,8.665,190,245,623.229,699.953,1140.011,192.469,38.475,179.413,304.724,493,671,176.048,68.659
123,1,245.000,0.000,245,245,937.500,671.500,2.828,1.128,1.128,0.000,1.414,937,671,135.000,1.000
124,716,241.760,3.648,225,245,464.521,695.522,267.848,35.703,25.534,127.995,44.598,455,674,109.654,34.729
125,11,244.364,1.120,242,245,612.409,675.318,11.899,4.982,2.811,166.717,5.385,610,674,158.199,3.000
126,8,244.125,0.835,243,245,802.750,675.750,10.485,3.797,2.682,82.982,4.472,802,678,63.435,3.000
127,32,244.125,0.907,242,245,429.938,677.688,22.142,7.765,5.247,22.000,8.485,427,681,45.000,5.942
128,1,245.000,0.000,245,245,529.500,676.500,2.828,1.128,1.128,0.000,1.414,529,676,135.000,1.000
129,3,245.000,0.000,245,245,796.833,676.833,5.657,2.365,1.615,45.000,2.828,796,678,45.000,2.000
130,5,245.000,0.000,245,245,914.900,677.300,7.657,3.144,2.025,71.565,3.606,914,679,56.310,2.000
131,11,244.909,0.302,244,245,939.773,677.864,13.314,5.915,2.368,139.731,6.403,937,676,141.340,2.828
132,1,245.000,0.000,245,245,673.500,678.500,2.828,1.128,1.128,0.000,1.414,673,678,135.000,1.000
